date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true,yt_pred_time_trend_3_fourier,yt_pred_mlp_8,yt_pred_stacked_mlp,yt_pred_d1d13_ar13,yt_pred_d1d12_mlp
1946-01-01,1095.0249999999992,1444.198616180507,1197.38923890143,890,1138.2402635831334,,,,
1946-02-01,1077.3934210526309,1417.7272045877276,1182.2558001361904,992,1250.6692805200837,,,,
1946-03-01,1214.0776315789465,1545.5715803337537,1321.1474334396953,979,1282.004688094217,,,,
1946-04-01,1322.1302631578938,1644.7843762768762,1431.1167703908927,959,1425.215084314777,,,,
1946-05-01,1385.0249999999992,1698.83927674319,1495.6374952003086,1110,1564.7241622380188,,,,
1946-06-01,1539.4986842105254,1844.473122881762,1651.4464499732069,1546,1531.9319146678731,,,,
1946-07-01,1929.709210526315,2225.843808421344,2042.7015294464288,1539,2199.8856639478427,,,,
1946-08-01,3034.4986842105254,3321.7934352765697,3148.244838883133,3401,2989.310342888408,,,,
1946-09-01,2284.709210526315,2563.16412667662,2398.9184835464766,2092,2535.851832234699,,,,
1946-10-01,1815.6565789473675,2085.271657162996,1930.0382529101453,1436,1845.181241588012,,,,
1946-11-01,1636.130263157894,1896.9055003584456,1750.3936206583487,1301,1778.8667492289223,,,,
1946-12-01,1397.6039473684202,1649.5393429107253,1511.4582710016132,1287,1539.9901752271924,,,,
1947-01-01,1220.817543859648,1464.4041988594968,1362.5325221780936,1488,1302.4547672028718,,,,
1947-02-01,1203.1859649122798,1438.9149915567698,1344.9249807775227,1517,1412.4301273552337,1260.828758119769,1205.9091766608778,,
1947-03-01,1339.8701754385957,1567.7415715928482,1481.3748133795789,1707,1441.343989132745,1360.0203665067077,1282.3323781895383,,
1947-04-01,1447.922807017543,1667.9365718260235,1588.9346515632092,1729,1582.1649505446496,1434.9276830258298,1273.4332926946774,,
1947-05-01,1510.817543859648,1722.9736765823898,1651.0781795389405,1788,1719.316704647203,1488.115979613748,1335.6017470015547,,
1947-06-01,1665.2912280701746,1869.5897270110145,1804.542239412036,2008,1684.1992442443357,1665.9033804755438,1497.3697155066302,,
1947-07-01,2055.501754385964,2251.9426168406494,2193.484725919337,2203,2349.85989167955,1959.1560238786856,1863.957944914859,,
1947-08-01,3160.291228070175,3348.874447985927,3296.747744324003,3713,3137.023579763327,2746.7774581373724,2894.159199623363,,
